Node	Average_Approximated_BC
0	0.0003304140922950328
7	0.0001943119504798895
8	0.00010334685721398686
5	0.00011390340297125325
6	8.249997112893523e-05
10	3.9297010930976054e-05
18	4.387535140140545e-05
16	4.7530507268959e-05
12	5.7573118154499625e-05
21	4.849894075649194e-05
3	5.351093981861534e-05
1	4.582059587075408e-05
37	2.8750886405459667e-05
17	3.068847586492231e-05
23	2.6549448916485317e-05
20	5.1008454520386616e-05
13	2.189675362114764e-05
14	2.1217892095683817e-05
68	2.0603075474494214e-05
25	3.4800247926746006e-05
19	2.8008437714697092e-05
34	2.4398503146230476e-05
11	3.972178300078268e-05
9	3.0306809641291386e-05
24	1.5416206201949083e-05
41	2.5717868772529507e-05
74	1.4968391208938363e-05
30	1.4722088124926404e-05
15	3.9695699435592776e-05
32	1.080250066835587e-05
